Symbol,EngName,ChtName,PrevClose,Exchange,Currency,LotSize
00001,CKH HOLDINGS,к°йM,100.3,SEHK,HKD,500
00002,CLP HOLDINGS,дд╣q▒▒к╤,63.65,SEHK,HKD,500
00003,HK & CHINA GAS,н╗┤фдд╡╪╖╤оЁ,14.64,SEHK,HKD,1000
00004,WHARF HOLDINGS,дE└sн▄╢░╣╬,41.8,SEHK,HKD,1000
00005,HSBC HOLDINGS,╢╫┬╫▒▒к╤,60.6,SEHK,HKD,400
00006,POWER ASSETS,╣qпр╣ъ╖~,66.5,SEHK,HKD,500
00007,HOIFU ENERGY,│═┤Iпр╖╜,0.77,SEHK,HKD,2000
00008,PCCW,╣q░Tм╒мь,4.09,SEHK,HKD,1000
00009,CHEUNG WO IHL,к°йM░ъ╗┌╣ъ╖~,0.92,SEHK,HKD,6000
00010,HANG LUNG GROUP,лэ╢й╢░╣╬,29.8,SEHK,HKD,1000
00011,HANG SENG BANK,∙┌е═╗╚жц,136,SEHK,HKD,100
00012,HENDERSON LAND,лэ░Єжa▓г,46.15,SEHK,HKD,1000
00014,HYSAN DEV,з╞╖V┐│╖~,31,SEHK,HKD,1000
00015,VANTAGE INT'L,м╒лH▒▒к╤,0.55,SEHK,HKD,2000
00016,SHK PPT,╖s┬E░Єжa▓г,96.6,SEHK,HKD,1000
00017,NEW WORLD DEV,╖sе@м╔╡oоi,7.67,SEHK,HKD,1000
00018,ORIENTAL PRESS,кFдш│°╖~╢░╣╬,0.79,SEHK,HKD,2000
00019,SWIRE PACIFIC A,д╙еjк╤еўд╜еqгD,81.15,SEHK,HKD,500
00020,WHEELOCK,╖|╝w┬╫,33.85,SEHK,HKD,1000
00021,GREAT CHI PPT,дjдд╡╪жa▓г▒▒к╤,0.196,SEHK,HKD,5000
00022,MEXAN,нZ▓▒▒▒к╤,0.265,SEHK,HKD,40000
00023,BANK OF E ASIA,кFи╚╗╚жц,26.3,SEHK,HKD,200
00024,BURWILL,─_л┬▒▒к╤,0.29,SEHK,HKD,2000
00025,CHEVALIER INT'L,CHEVALIER INT'L,14.86,SEHK,HKD,2000
00026,CHINA MOTOR BUS,дд╡╪иTио,73.7,SEHK,HKD,200
00027,GALAXY ENT,╗╚кeоT╝╓,24.25,SEHK,HKD,1000
00028,TIAN AN,д╤жw,4,SEHK,HKD,1000
00029,DYNAMIC HOLD,╣FдO╢░╣╬,2.4,SEHK,HKD,2000
00030,ABC COM (HOLD),и╬░T▒▒к╤,0.202,SEHK,HKD,2000
00031,CHINA AEROSPACE,пшд╤▒▒к╤,1,SEHK,HKD,2000
00032,CROSS-HAR(HOLD),┤ф│q▒▒к╤,9.35,SEHK,HKD,1000
00033,HARMONIC STR,йMиєо№оlкў┐─╢░╣╬,0.101,SEHK,HKD,2000
00034,KOWLOON DEV,дE└sл╪╖~,8.59,SEHK,HKD,1000
00035,FE CONSORT INTL,╗╖кF╡oоi,2.88,SEHK,HKD,1000
00036,FE HLDGS INTL,╗╖кF▒▒к╤░ъ╗┌,3.25,SEHK,HKD,3000
00037,FE HOTELS,╗╖кF░sй▒╣ъ╖~,0.52,SEHK,HKD,2000
00038,FIRST TRACTOR,▓─д@йьй╘╛ўк╤еў,4.21,SEHK,HKD,2000
00039,CH BEIDAHUANG,дд░ъе_дjпю,1.53,SEHK,HKD,2000
00040,GOLD PEAK,кўдsдu╖~,0.86,SEHK,HKD,1000
00041,GREAT EAGLE H,╞Nзg,23.35,SEHK,HKD,1000
00042,NE ELECTRIC,кFе_╣qоЁ,1.86,SEHK,HKD,2000
00043,C.P. POKPHAND,дR╕┴░ъ╗┌,0.79,SEHK,HKD,2000
00044,HAECO,н╗┤фн╕╛ўдu╡{,66.4,SEHK,HKD,400
00045,HK&S HOTELS,дj░sй▒,8.55,SEHK,HKD,500
